Country,Ed_Spend
Australia,21.99
Austria,27.69
Belgium,25.79
Canada,23.4
Chile,22.09
Colombia,21.45
Czech Republic,20.65
Denmark,21.91
Estonia,21.96
Finland,21.33
France,24.31
Germany,22.9
Greece,21.68
Hungary,22.73
Iceland,23.85
Ireland,11.66
Israel,23.29
Italy,24.02
Japan,24.37
Korea,30.99
Latvia,23.59
Lithuania,18.02
Luxembourg,18.85
Mexico,13.98
Netherlands,21.56
New Zealand,23.91
Norway,23.59
Poland,25.49
Portugal,29.73
Slovak Republic,21.71
Slovenia,25.14
Spain,23.13
Sweden,23.4
Switzerland,17.45
Turkey,16.17
United Kingdom,25.25
United States,22.5
